run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift25,brightness,785.2405014038086,17226.982421875,-16441.74192047119
2_INFO_DOWN_regression_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift50,saturation,949.178840637207,8625.2919921875,-7676.113151550293
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift50,brightness,785.2405014038086,17787.19921875,-17001.95871734619
2_INFO_DOWN_regression_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift75,saturation,949.178840637207,8383.23828125,-7434.059440612793
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift75,brightness,785.2405014038086,17633.458984375,-16848.21848297119
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift100,brightness,785.2405014038086,18085.19921875,-17299.95871734619
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,SaturationShift25,hue,480.54444122314453,6694.99853515625,-6214.4540939331055
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,SaturationShift25,brightness,785.2405014038086,17318.349609375,-16533.10910797119
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,SaturationShift50,hue,480.54444122314453,4673.36181640625,-4192.8173751831055
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,SaturationShift50,brightness,785.2405014038086,15839.8125,-15054.571998596191
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,SaturationShift75,hue,480.54444122314453,2576.00341796875,-2095.4589767456055
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,SaturationShift75,brightness,785.2405014038086,16375.63671875,-15590.396217346191
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,SaturationShift100,hue,480.54444122314453,3164.02197265625,-2683.4775314331055
2_INFO_DOWN_regression_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,SaturationShift100,brightness,785.2405014038086,17415.302734375,-16630.06223297119
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,BrightnessShift25,hue,480.54444122314453,206.81651306152344,273.7279281616211
2_INFO_DOWN_regression_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,BrightnessShift25,saturation,949.178840637207,18264.5703125,-17315.391471862793
2_INFO_DOWN_regression_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,BrightnessShift50,hue,480.54444122314453,206.81651306152344,273.7279281616211
